SACC code,Country of birth,Net migration (2020-2021),Net Migration(2021-2022),,,,,,,,,,,,,,,
1101,Australia,"7,470","-14,160",,,,,,,,,,,,,,,
1102,Norfolk Island,0,0,,,,,,,,,,,,,,,
1199,"Aust E T, nec",0,0,,,,,,,,,,,,,,,
1201,New Zealand,"-2,150","4,910",,,,,,,,,,,,,,,
1301,New Caledonia,0,30,,,,,,,,,,,,,,,
1302,PNG,-180,430,,,,,,,,,,,,,,,
1303,Solomon Islands,990,"1,430",,,,,,,,,,,,,,,
1304,Vanuatu,"2,290","2,030",,,,,,,,,,,,,,,
1401,Guam,0,0,,,,,,,,,,,,,,,
1402,Kiribati,180,140,,,,,,,,,,,,,,,
1403,Marshall Is,0,0,,,,,,,,,,,,,,,
1404,"Micronesia, F S",0,0,,,,,,,,,,,,,,,
1405,Nauru,-20,10,,,,,,,,,,,,,,,
1406,N Mariana Is,0,0,,,,,,,,,,,,,,,
1407,Palau,0,0,,,,,,,,,,,,,,,
1501,Cook Islands,-10,20,,,,,,,,,,,,,,,
1502,Fiji,810,"2,100",,,,,,,,,,,,,,,
1503,French Poly,-30,0,,,,,,,,,,,,,,,
1504,Niue,0,10,,,,,,,,,,,,,,,
1505,Samoa,"1,000","2,830",,,,,,,,,,,,,,,
1506,Samoa American,0,0,,,,,,,,,,,,,,,
1507,Tokelau,-10,10,,,,,,,,,,,,,,,
1508,Tonga,"1,770","1,120",,,,,,,,,,,,,,,
1511,Tuvalu,-30,20,,,,,,,,,,,,,,,
1512,Wallis/Futuna,0,0,,,,,,,,,,,,,,,
1513,Pitcairn Is,0,0,,,,,,,,,,,,,,,
1599,"Polynesia, nec",0,0,,,,,,,,,,,,,,,
1601,Adelie Land,0,0,,,,,,,,,,,,,,,
1602,Argentinian A T,0,0,,,,,,,,,,,,,,,
1603,Australian A T,0,0,,,,,,,,,,,,,,,
1604,British A T,0,0,,,,,,,,,,,,,,,
1605,Chilean A T,0,0,,,,,,,,,,,,,,,
1606,Queen Maud Land,0,0,,,,,,,,,,,,,,,
1607,Ross Dependency,0,0,,,,,,,,,,,,,,,
2100,"UK, CIs & IOM",-960,920,,,,,,,,,,,,,,,
2201,Ireland,"-1,200",-510,,,,,,,,,,,,,,,
2301,Austria,-50,-40,,,,,,,,,,,,,,,
2302,Belgium,-240,-120,,,,,,,,,,,,,,,
2303,France,"-2,190","-1,570",,,,,,,,,,,,,,,
2304,Germany,"-1,090",-560,,,,,,,,,,,,,,,
2305,Liechtenstein,0,0,,,,,,,,,,,,,,,
2306,Luxembourg,0,0,,,,,,,,,,,,,,,
2307,Monaco,0,0,,,,,,,,,,,,,,,
2308,Netherlands,-420,-330,,,,,,,,,,,,,,,
2311,Switzerland,-90,20,,,,,,,,,,,,,,,
2401,Denmark,-140,-60,,,,,,,,,,,,,,,
2402,Faroe Islands,0,0,,,,,,,,,,,,,,,
2403,Finland,-130,-70,,,,,,,,,,,,,,,
2404,Greenland,0,0,,,,,,,,,,,,,,,
2405,Iceland,0,0,,,,,,,,,,,,,,,
2406,Norway,-170,60,,,,,,,,,,,,,,,
2407,Sweden,-230,-180,,,,,,,,,,,,,,,
2408,Aland Islands,0,0,,,,,,,,,,,,,,,
3101,Andorra,0,0,,,,,,,,,,,,,,,
3102,Gibraltar,0,0,,,,,,,,,,,,,,,
3103,Holy See,0,0,,,,,,,,,,,,,,,
3104,Italy,"-1,240",-780,,,,,,,,,,,,,,,
3105,Malta,-30,-30,,,,,,,,,,,,,,,
3106,Portugal,-70,-90,,,,,,,,,,,,,,,
3107,San Marino,0,0,,,,,,,,,,,,,,,
3108,Spain,-600,-420,,,,,,,,,,,,,,,
3201,Albania,-60,0,,,,,,,,,,,,,,,
3202,Bosnia/Herzegov,-120,-320,,,,,,,,,,,,,,,
3203,Bulgaria,-40,-90,,,,,,,,,,,,,,,
3204,Croatia,-110,-360,,,,,,,,,,,,,,,
3205,Cyprus,-40,-70,,,,,,,,,,,,,,,
3206,North Macedonia,-120,-10,,,,,,,,,,,,,,,
3207,Greece,-410,-540,,,,,,,,,,,,,,,
3208,Moldova,-10,20,,,,,,,,,,,,,,,
3211,Romania,-100,-110,,,,,,,,,,,,,,,
3212,Slovenia,-30,-50,,,,,,,,,,,,,,,
3214,Montenegro,0,0,,,,,,,,,,,,,,,
3215,Serbia,-140,-240,,,,,,,,,,,,,,,
3216,Kosovo,-10,0,,,,,,,,,,,,,,,
3301,Belarus,10,50,,,,,,,,,,,,,,,
3302,Czechia,-150,-80,,,,,,,,,,,,,,,
3303,Estonia,-270,-60,,,,,,,,,,,,,,,
3304,Hungary,-110,10,,,,,,,,,,,,,,,
3305,Latvia,-20,20,,,,,,,,,,,,,,,
3306,Lithuania,-80,70,,,,,,,,,,,,,,,
3307,Poland,-300,-130,,,,,,,,,,,,,,,
3308,Russia,-150,550,,,,,,,,,,,,,,,
3311,Slovakia,-100,-50,,,,,,,,,,,,,,,
3312,Ukraine,30,"2,420",,,,,,,,,,,,,,,
4101,Algeria,-10,-10,,,,,,,,,,,,,,,
4102,Egypt,200,730,,,,,,,,,,,,,,,
4103,Libya,0,-30,,,,,,,,,,,,,,,
4104,Morocco,10,20,,,,,,,,,,,,,,,
4105,Sudan,30,30,,,,,,,,,,,,,,,
4106,Tunisia,10,20,,,,,,,,,,,,,,,
4107,Western Sahara,0,0,,,,,,,,,,,,,,,
4108,Sp North Africa,0,0,,,,,,,,,,,,,,,
4111,South Sudan,10,60,,,,,,,,,,,,,,,
4201,Bahrain,20,90,,,,,,,,,,,,,,,
4202,Gaza Str/W Bank,0,0,,,,,,,,,,,,,,,
4203,Iran,590,"3,190",,,,,,,,,,,,,,,
4204,Iraq,0,"3,330",,,,,,,,,,,,,,,
4205,Israel,-110,-190,,,,,,,,,,,,,,,
4206,Jordan,70,230,,,,,,,,,,,,,,,
4207,Kuwait,20,370,,,,,,,,,,,,,,,
4208,Lebanon,810,"1,400",,,,,,,,,,,,,,,
4211,Oman,-100,100,,,,,,,,,,,,,,,
4212,Qatar,50,170,,,,,,,,,,,,,,,
4213,Saudi Arabia,"-2,100",250,,,,,,,,,,,,,,,
4214,Syria,170,"1,100",,,,,,,,,,,,,,,
4215,Turkey,-150,60,,,,,,,,,,,,,,,
4216,Unit Arab Emir,480,970,,,,,,,,,,,,,,,
4217,Yemen,10,60,,,,,,,,,,,,,,,
5101,Myanmar,-10,"1,320",,,,,,,,,,,,,,,
5102,Cambodia,-280,"1,300",,,,,,,,,,,,,,,
5103,Laos,-150,210,,,,,,,,,,,,,,,
5104,Thailand,"-1,500","6,080",,,,,,,,,,,,,,,
5105,Vietnam,"-1,420","6,550",,,,,,,,,,,,,,,
5201,Brunei,-40,150,,,,,,,,,,,,,,,
5202,Indonesia,"-2,510","4,090",,,,,,,,,,,,,,,
5203,Malaysia,"-4,460","2,300",,,,,,,,,,,,,,,
5204,Philippines,"1,080","11,570",,,,,,,,,,,,,,,
5205,Singapore,-760,"2,320",,,,,,,,,,,,,,,
5206,Timor-Leste,60,60,,,,,,,,,,,,,,,
6101,China,"-50,270","15,150",,,,,,,,,,,,,,,
6102,Hong Kong,810,"8,040",,,,,,,,,,,,,,,
6103,Macau,-150,200,,,,,,,,,,,,,,,
6104,Mongolia,-790,310,,,,,,,,,,,,,,,
6105,Taiwan,"-3,420","2,050",,,,,,,,,,,,,,,
6201,Japan,"-1,580","1,170",,,,,,,,,,,,,,,
6202,"Korea, North",-40,-30,,,,,,,,,,,,,,,
6203,"Korea, South","-4,740",370,,,,,,,,,,,,,,,
7101,Bangladesh,-560,"2,680",,,,,,,,,,,,,,,
7102,Bhutan,-130,"1,580",,,,,,,,,,,,,,,
7103,India,"-10,650","38,130",,,,,,,,,,,,,,,
7104,Maldives,-30,20,,,,,,,,,,,,,,,
7105,Nepal,"-2,090","20,170",,,,,,,,,,,,,,,
7106,Pakistan,-730,"6,430",,,,,,,,,,,,,,,
7107,Sri Lanka,-830,"5,380",,,,,,,,,,,,,,,
7201,Afghanistan,"1,460","8,050",,,,,,,,,,,,,,,
7202,Armenia,10,20,,,,,,,,,,,,,,,
7203,Azerbaijan,-20,20,,,,,,,,,,,,,,,
7204,Georgia,30,20,,,,,,,,,,,,,,,
7205,Kazakhstan,-30,120,,,,,,,,,,,,,,,
7206,Kyrgyzstan,-10,10,,,,,,,,,,,,,,,
7207,Tajikistan,0,10,,,,,,,,,,,,,,,
7208,Turkmenistan,0,10,,,,,,,,,,,,,,,
7211,Uzbekistan,-60,40,,,,,,,,,,,,,,,
8101,Bermuda,0,10,,,,,,,,,,,,,,,
8102,Canada,-400,110,,,,,,,,,,,,,,,
8103,St Pierre/Mique,0,0,,,,,,,,,,,,,,,
8104,USA,-10,-920,,,,,,,,,,,,,,,
8201,Argentina,-390,290,,,,,,,,,,,,,,,
8202,Bolivia,-10,20,,,,,,,,,,,,,,,
8203,Brazil,"-1,750","2,000",,,,,,,,,,,,,,,
8204,Chile,-400,600,,,,,,,,,,,,,,,
8205,Colombia,"-1,460",630,,,,,,,,,,,,,,,
8206,Ecuador,-40,40,,,,,,,,,,,,,,,
8207,Falkland Is,0,0,,,,,,,,,,,,,,,
8208,French Guiana,0,0,,,,,,,,,,,,,,,
8211,Guyana,0,0,,,,,,,,,,,,,,,
8212,Paraguay,-10,30,,,,,,,,,,,,,,,
8213,Peru,-50,160,,,,,,,,,,,,,,,
8214,Suriname,0,0,,,,,,,,,,,,,,,
8215,Uruguay,-80,50,,,,,,,,,,,,,,,
8216,Venezuela,-20,10,,,,,,,,,,,,,,,
8299,"S America, nec",0,0,,,,,,,,,,,,,,,
8301,Belize,0,0,,,,,,,,,,,,,,,
8302,Costa Rica,0,20,,,,,,,,,,,,,,,
8303,El Salvador,30,20,,,,,,,,,,,,,,,
8304,Guatemala,0,50,,,,,,,,,,,,,,,
8305,Honduras,20,30,,,,,,,,,,,,,,,
8306,Mexico,-140,190,,,,,,,,,,,,,,,
8307,Nicaragua,0,10,,,,,,,,,,,,,,,
8308,Panama,-10,10,,,,,,,,,,,,,,,
8401,Anguilla,0,0,,,,,,,,,,,,,,,
8402,Antigua/Barbuda,0,0,,,,,,,,,,,,,,,
8403,Aruba,0,0,,,,,,,,,,,,,,,
8404,Bahamas,0,10,,,,,,,,,,,,,,,
8405,Barbados,0,0,,,,,,,,,,,,,,,
8406,Cayman Islands,0,10,,,,,,,,,,,,,,,
8407,Cuba,0,10,,,,,,,,,,,,,,,
8408,Dominica,0,0,,,,,,,,,,,,,,,
8411,Dominican Rep,10,0,,,,,,,,,,,,,,,
8412,Grenada,0,0,,,,,,,,,,,,,,,
8413,Guadeloupe,0,0,,,,,,,,,,,,,,,
8414,Haiti,0,0,,,,,,,,,,,,,,,
8415,Jamaica,0,20,,,,,,,,,,,,,,,
8416,Martinique,0,0,,,,,,,,,,,,,,,
8417,Montserrat,0,0,,,,,,,,,,,,,,,
8421,Puerto Rico,-10,-10,,,,,,,,,,,,,,,
8422,St Kitts/Nevis,0,0,,,,,,,,,,,,,,,
8423,St Lucia,0,0,,,,,,,,,,,,,,,
8424,St Vinc/Grenad,0,0,,,,,,,,,,,,,,,
8425,Trinidad/Tobago,10,30,,,,,,,,,,,,,,,
8426,Turks/Caicos Is,0,0,,,,,,,,,,,,,,,
8427,"Virgin Is, Brit",0,0,,,,,,,,,,,,,,,
8428,"Virgin Is, US",0,0,,,,,,,,,,,,,,,
8431,St Barthelemy,0,0,,,,,,,,,,,,,,,
8432,St Martin (Fr),0,0,,,,,,,,,,,,,,,
8433,Bonaire/SE/Saba,0,0,,,,,,,,,,,,,,,
8434,Curacao,0,0,,,,,,,,,,,,,,,
8435,Sint Maarten Dp,0,0,,,,,,,,,,,,,,,
9101,Benin,-10,0,,,,,,,,,,,,,,,
9102,Burkina Faso,0,0,,,,,,,,,,,,,,,
9103,Cameroon,0,30,,,,,,,,,,,,,,,
9104,Cabo Verde,0,0,,,,,,,,,,,,,,,
9105,Cent Africa Rep,0,0,,,,,,,,,,,,,,,
9106,Chad,0,0,,,,,,,,,,,,,,,
9107,"Congo, Rep",10,20,,,,,,,,,,,,,,,
9108,"Congo, Dem Rep",30,180,,,,,,,,,,,,,,,
9111,Cote d'Ivoire,0,10,,,,,,,,,,,,,,,
9112,Equator Guinea,0,0,,,,,,,,,,,,,,,
9113,Gabon,0,0,,,,,,,,,,,,,,,
9114,Gambia,0,10,,,,,,,,,,,,,,,
9115,Ghana,-60,390,,,,,,,,,,,,,,,
9116,Guinea,10,70,,,,,,,,,,,,,,,
9117,Guinea-Bissau,0,0,,,,,,,,,,,,,,,
9118,Liberia,20,60,,,,,,,,,,,,,,,
9121,Mali,0,0,,,,,,,,,,,,,,,
9122,Mauritania,0,0,,,,,,,,,,,,,,,
9123,Niger,0,0,,,,,,,,,,,,,,,
9124,Nigeria,10,"1,610",,,,,,,,,,,,,,,
9125,Sao Tome/Princ,0,0,,,,,,,,,,,,,,,
9126,Senegal,10,10,,,,,,,,,,,,,,,
9127,Sierra Leone,20,110,,,,,,,,,,,,,,,
9128,Togo,0,10,,,,,,,,,,,,,,,
9201,Angola,0,0,,,,,,,,,,,,,,,
9202,Botswana,-20,40,,,,,,,,,,,,,,,
9203,Burundi,0,60,,,,,,,,,,,,,,,
9204,Comoros,0,0,,,,,,,,,,,,,,,
9205,Djibouti,0,0,,,,,,,,,,,,,,,
9206,Eritrea,20,110,,,,,,,,,,,,,,,
9207,Ethiopia,150,420,,,,,,,,,,,,,,,
9208,Kenya,-70,"1,700",,,,,,,,,,,,,,,
9211,Lesotho,0,0,,,,,,,,,,,,,,,
9212,Madagascar,-10,-10,,,,,,,,,,,,,,,
9213,Malawi,-20,80,,,,,,,,,,,,,,,
9214,Mauritius,-240,430,,,,,,,,,,,,,,,
9215,Mayotte,0,0,,,,,,,,,,,,,,,
9216,Mozambique,-20,0,,,,,,,,,,,,,,,
9217,Namibia,10,50,,,,,,,,,,,,,,,
9218,Reunion,-10,-10,,,,,,,,,,,,,,,
9221,Rwanda,10,30,,,,,,,,,,,,,,,
9222,St Helena,0,0,,,,,,,,,,,,,,,
9223,Seychelles,0,20,,,,,,,,,,,,,,,
9224,Somalia,-10,50,,,,,,,,,,,,,,,
9225,South Africa,"2,560","4,520",,,,,,,,,,,,,,,
9226,Eswatini,0,0,,,,,,,,,,,,,,,
9227,Tanzania,-10,50,,,,,,,,,,,,,,,
9228,Uganda,20,160,,,,,,,,,,,,,,,
9231,Zambia,20,210,,,,,,,,,,,,,,,
9232,Zimbabwe,200,"1,050",,,,,,,,,,,,,,,
9299,"S & E Afr, nec",0,0,,,,,,,,,,,,,,,
0000,Inadequately Described,0,0,,,,,,,,,,,,,,,
